End of Season,,,,,,,,,,,,,,,,,,,,,,
"Level 8, 7 & 6 with ISCED Broad Field Code",,,,,,,,,,,,,,,,,,,,,,
The details  given are for general information only and do not form part of any contract. They are not intended for use in determining whether any individual applicant is or is not entitled to an offer of a higher education place,,,,,,,,,,,,,,,,,,,,,,
Random * = Not all on this points score were offered places,,,,,,,,,,,,,,,,,,,,,,
# = Test / Interview / Portfolio / Audition,,,,,,,,,,,,,,,,,,,,,,
AQA = All qualified applicants,,,,,,,,,,,,,,,,,,,,,,
avp = Available Places,,,,,,,,,,,,,,,,,,,,,,
v = New competition for available places resulted in a higher points cutoff,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
CATEGORY (i.e.ISCED description),COURSE TITLE,COURSE CODE2,R1 POINTS,R1 Random *,R2 POINTS,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
Arts,Languages and International Tourism,TU967,308,,,,326,,388,8,Technological University Dublin,,,,,,,,,,,
Arts,Contemporary Visual Culture,TU971,290,,,,290,,320,8,Technological University Dublin,,,,,,,,,,,
Arts,Creative and Cultural Industries,TU972,281,,,,281,,369,8,Technological University Dublin,,,,,,,,,,,
Arts,Design - Visual Communication,TU973,717,,,,717,,865,8,Technological University Dublin,#,,,,,,,,,,
Arts,Fine Art,TU974,709,,563,,563,,826,8,Technological University Dublin,#,,,,,,,,,,
Arts,Interior Design,TU975,632,,,,632,,879,8,Technological University Dublin,#,,,,,,,,,,
Arts,Photography,TU976,695,,,,695,,926,8,Technological University Dublin,#,,,,,,,,,,
Arts,Creative Digital Media,TU981,280,,,,282,,318,8,Technological University Dublin,,,,,,,,,,,
Arts,Creative Digital Media,TU982,320,,311,,311,,352,8,Technological University Dublin,,,,,,,,,,,
Arts,Film and Broadcasting,TU983,456,,451,,451,,484,8,Technological University Dublin,,,,,,,,,,,
Information and Communication Technologies (ICTs),Game Design,TU984,381,,,,381,,419,8,Technological University Dublin,,,,,,,,,,,
Journalism and information,Journalism,TU985,322,,,,322,,377,8,Technological University Dublin,,,,,,,,,,,
Business and administration,Print Media Technology and Management,TU986,289,,,,289,,300,8,Technological University Dublin,,,,,,,,,,,
Welfare,Applied Social Studies in Social Care,TU991,325,,,,325,,352,8,Technological University Dublin,,,,,,,,,,,
Social and behavioural sciences,Community and Youth Development,TU992,251,,,,253,,297,8,Technological University Dublin,,,,,,,,,,,
Welfare,Early Childhood Care and Education,TU993,270,,,,270,,311,8,Technological University Dublin,,,,,,,,,,,
Welfare,Early Childhood Care and Education,TU994,321,,251,,230,,304,8,Technological University Dublin,,,,,,,,,,,
Education,Early Childhood Education,TU995,367,,,,367,,409,8,Technological University Dublin,,,,,,,,,,,
Social and behavioural sciences,Social Care,TU996,400,,,,400,,419,8,Technological University Dublin,,,,,,,,,,,
Welfare,Applied Social Care,TU997,310,,283,,270,,318,8,Technological University Dublin,,,,,,,,,,,
Information and Communication Technologies (ICTs),Applied Computing (options),WD001,260,,260,,260,,413,8,Waterford Institute of Technology,,avp,,,,,,,,,
Physical sciences,Science (options),WD002,308,,,,308,,388,8,Waterford Institute of Technology,,,,,,,,,,,
Business and administration,Business,WD003,AQA,,171,,AQA,,372,6,Waterford Institute of Technology,,avp,,,,,,,,,
Health,Health Sciences (options),WD005,280,,,,280,,338,8,Waterford Institute of Technology,,,,,,,,,,,
Personal services,Exercise Sciences (options),WD006,280,,,,280,,359,8,Waterford Institute of Technology,,,,,,,,,,,
Engineering and engineering trades,Engineering (options),WD007,288,,288,,288,,409,8,Waterford Institute of Technology,,avp,,,,,,,,,
Engineering and engineering trades,Electronic Engineering,WD010,181,,,,181,,318,6,Waterford Institute of Technology,,,,,,,,,,,
Engineering and engineering trades,Mechanical Engineering,WD011,198,,,,198,,341,6,Waterford Institute of Technology,,,,,,,,,,,
Law,Legal Studies,WD013,177,,,,177,,367,6,Waterford Institute of Technology,,,,,,,,,,,
Welfare,Applied Social Care,WD018,171,,,,171,,293,7,Waterford Institute of Technology,,,,,,,,,,,
Personal services,Recreation and Sport Management,WD019,174,,,,174,,309,7,Waterford Institute of Technology,,,,,,,,,,,
Architecture and construction,Construction Management and Engineering,WD025,269,,,,269,,341,8,Waterford Institute of Technology,,,,,,,,,,,
Arts,Music,WD027,262,,,,262,,409,8,Waterford Institute of Technology,#,,,,,,,,,,
Business and administration,Business (options),WD048,271,,,,271,,371,8,Waterford Institute of Technology,,,,,,,,,,,
"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Forestry,WD076,243,,,,243,,326,7,Waterford Institute of Technology,,,,,,,,,,,
Business and administration,Accounting,WD084,308,,,,308,,411,8,Waterford Institute of Technology,,,,,,,,,,,
Personal services,Hospitality Management,WD091,228,,,,228,,310,8,Waterford Institute of Technology,,,,,,,,,,,
Architecture and construction,Architectural Technology,WD094,166,,150,,150,,351,7,Waterford Institute of Technology,,avp,,,,,,,,,
Agriculture,Horticulture (Waterford - Kildalton),WD096,260,,,,260,,389,7,Waterford Institute of Technology,,,,,,,,,,,
Agriculture,Horticulture (Dublin - National Botanic Gardens),WD097,AQA,,,,AQA,,408,7,Waterford Institute of Technology,,,,,,,,,,,
Health,General Nursing,WD116,422,,,,422,,451,8,Waterford Institute of Technology,,,,,,,,,,,
Health,Psychiatric Nursing,WD117,366,,,,366,,388,8,Waterford Institute of Technology,,,,,,,,,,,
Health,Intellectual Disability Nursing,WD120,377,,,,377,,388,8,Waterford Institute of Technology,,,,,,,,,,,
Agriculture,Agriculture,WD126,327,,,,327,,430,7,Waterford Institute of Technology,,,,,,,,,,,
Business and administration,International Business,WD134,290,,,,290,,362,8,Waterford Institute of Technology,,,,,,,,,,,
Arts,Design (Visual Communications),WD137,271,,,,271,,351,8,Waterford Institute of Technology,,,,,,,,,,,
Architecture and construction,Civil Engineering,WD139,206,,,,206,,379,7,Waterford Institute of Technology,,,,,,,,,,,
Law,Laws,WD140,280,,,,280,,367,8,Waterford Institute of Technology,,,,,,,,,,,
Architecture and construction,Architecture,WD144,284,,,,284,,359,8,Waterford Institute of Technology,,,,,,,,,,,
Physical sciences,Pharmaceutical Science,WD147,293,,,,293,,390,8,Waterford Institute of Technology,,,,,,,,,,,
Welfare,Early Childhood Studies,WD149,271,,,,271,,368,8,Waterford Institute of Technology,,,,,,,,,,,
Law,Criminal Justice Studies,WD150,270,,,,270,,331,8,Waterford Institute of Technology,,,,,,,,,,,
Information and Communication Technologies (ICTs),Software Systems Development,WD151,AQA,,AQA,,AQA,,356,7,Waterford Institute of Technology,,avp,,,,,,,,,
Arts,Visual Art,WD152,AQA,,,,AQA,,317,8,Waterford Institute of Technology,,,,,,,,,,,
Information and Communication Technologies (ICTs),Multimedia Applications Development,WD153,163,,,,163,,353,7,Waterford Institute of Technology,,,,,,,,,,,
Information and Communication Technologies (ICTs),Information Technology,WD155,211,,,,211,,338,7,Waterford Institute of Technology,,,,,,,,,,,
Business and administration,Business,WD159,195,,,,195,,388,7,Waterford Institute of Technology,,,,,,,,,,,
Information and Communication Technologies (ICTs),Computer Forensics and Security,WD161,255,,,,255,,380,8,Waterford Institute of Technology,,,,,,,,,,,
Architecture and construction,Quantity Surveying,WD162,216,,,,216,,306,8,Waterford Institute of Technology,,,,,,,,,,,
Social and behavioural sciences,Psychology,WD163,434,,,,434,,473,8,Waterford Institute of Technology,,,,,,,,,,,
Biological and related sciences,Food Science with Business,WD164,309,,,,309,,440,7,Waterford Institute of Technology,,,,,,,,,,,
Personal services,Culinary Arts,WD172,AQA,,AQA,,AQA,,301,6,Waterford Institute of Technology,,avp,,,,,,,,,
Personal services,Hospitality Studies,WD173,AQA,,,,AQA,,310,6,Waterford Institute of Technology,,,,,,,,,,,
Personal services,Tourism,WD174,AQA,,,,AQA,,226,6,Waterford Institute of Technology,,,,,,,,,,,
Physical sciences,Pharmaceutical Science,WD175,226,,,,226,,392,7,Waterford Institute of Technology,,,,,,,,,,,
Biological and related sciences,"Science (Mol. Biology with Biopharm.,Food Science with Business,Pharm.)",WD177,222,,,,222,,473,7,Waterford Institute of Technology,,,,,,,,,,,
Engineering and engineering trades,Electrical Engineering,WD182,AQA,,,,AQA,,302,7,Waterford Institute of Technology,,,,,,,,,,,
Business and administration,Retail Management,WD184,163,,,,163,,346,7,Waterford Institute of Technology,,,,,,,,,,,
Personal services,Sports Coaching and Performance,WD186,270,,,,270,,344,8,Waterford Institute of Technology,,,,,,,,,,,
Welfare,Social Science,WD187,272,,,,272,,348,8,Waterford Institute of Technology,,,,,,,,,,,
Health,Applied Health Care,WD188,201,,,,201,,349,7,Waterford Institute of Technology,,,,,,,,,,,
Agriculture,Agricultural Science,WD191,377,,,,377,,420,8,Waterford Institute of Technology,,,,,,,,,,,
Welfare,Social Care Practice,WD192,270,,,,270,,326,8,Waterford Institute of Technology,,,,,,,,,,,
Business and administration,Marketing and Digital Media,WD193,271,,,,271,,347,8,Waterford Institute of Technology,,,,,,,,,,,
Personal services,Culinary Arts,WD194,217,,,,217,,321,8,Waterford Institute of Technology,,,,,,,,,,,
Architecture and construction,Architectural and Building Information Modelling Technology,WD195,279,,,,279,,367,8,Waterford Institute of Technology,,,,,,,,,,,
Arts,Arts (options),WD200,AQA,,AQA,,AQA,,336,8,Waterford Institute of Technology,,avp,,,,,,,,,
Health,Molecular Biology with Biopharmaceutical Science,WD205,228,,,,228,,446,7,Waterford Institute of Technology,,,,,,,,,,,
Engineering and engineering trades,Electronic Engineering,WD206,179,,,,179,,373,7,Waterford Institute of Technology,,,,,,,,,,,
Engineering and engineering trades,Mechanical Engineering,WD207,198,,,,198,,365,7,Waterford Institute of Technology,,,,,,,,,,,
Manufacturing and processing,Manufacturing Engineering,WD208,188,,,,188,,339,7,Waterford Institute of Technology,,,,,,,,,,,
Information and Communication Technologies (ICTs),Software Systems Development,WD210,279,,,,279,,337,8,Waterford Institute of Technology,,,,,,,,,,,
Information and Communication Technologies (ICTs),Creative Computing,WD211,271,,,,271,,318,8,Waterford Institute of Technology,,,,,,,,,,,
Personal services,Recreation and Sport Management,WD212,270,,,,270,,349,8,Waterford Institute of Technology,,,,,,,,,,,
Engineering and engineering trades,Mechanical and Manufacturing Engineering,WD230,253,,,,253,,369,8,Waterford Institute of Technology,,,,,,,,,,,
